model,accuracy,f1_score,train_time
tfidf_unibi_logistic_regression,0.8955364345254101,0.895491416900639,18.10357093811035
tfidf_unibi_linearsvc,0.8949986555525679,0.8949818950396545,19.188417434692383
tfidf_uni_logistic_regression,0.8927130949179887,0.8926662568944493,5.583326816558838
tfidf_uni_linearsvc,0.8904275342834095,0.890397948469982,7.252331972122192
tfidf_unibi_naive_bayes,0.867437483194407,0.8673909689607312,17.39592170715332
word2vec_linearsvc,0.8668997042215649,0.8668731368370619,55.44617199897766
word2vec_logistic_regression,0.8643452541005646,0.8643132972199333,45.37676787376404
tfidf_uni_naive_bayes,0.8581607959128799,0.858160372877753,6.153054714202881
word2vec_xgboost,0.8509007797795106,0.8508692797819375,52.343759298324585
tfidf_uni_xgboost,0.8498252218338262,0.8497425699354281,70.7004029750824
tfidf_unibi_xgboost,0.8494218876041947,0.8493156309491537,102.10403203964233
tfidf_bi_naive_bayes,0.8335574079053509,0.8335228969753652,14.318706035614014
sbert_linearsvc,0.8304651788115085,0.8304620253989881,1210.3053090572357
tfidf_bi_logistic_regression,0.8291207313794031,0.8289620120381699,14.333642721176147
tfidf_bi_linearsvc,0.8289862866361926,0.8289452856031359,15.28474473953247
sbert_logistic_regression,0.8277762839472976,0.8277584343854278,1253.8383038043976
sbert_xgboost,0.7979295509545576,0.7979157685875929,1237.4473223686218
tfidf_bi_xgboost,0.749260553912342,0.7447834115300515,45.8089816570282
